0
16
16
9 5 5 1 5 1 5 3 9 5 1 5 1 5 5 3 
a 9 5 4 3 c 3 a a 9 6 9 4 5 3 a 
a a 9 5 4 3 8 2 8 6 9 4 5 3 a a 
8 2 a 9 5 4 2 a a 9 4 5 3 a 8 2 
a 8 2 a 9 5 2 a a 8 5 3 a 8 6 a 
8 2 c 2 a 9 2 a a c 3 a 8 6 9 2 
a c 3 c 4 6 e c 6 9 4 4 6 9 6 a 
c 5 4 5 5 5 3 9 1 6 9 5 5 4 5 6 
9 5 1 5 1 3 a c 6 b c 5 5 1 5 3 
a 9 6 9 2 a a 9 1 6 9 1 3 c 3 a 
8 6 9 2 a a a a a 9 6 a 8 3 c 2 
a 9 2 a c 4 2 a 8 0 5 6 a 8 3 a 
8 2 a c 5 1 2 a a c 1 5 6 a 8 2 
a a c 5 1 6 8 2 8 3 c 1 5 6 a a 
a c 5 1 6 9 6 a a c 3 c 1 5 6 a 
e d 5 4 5 4 5 6 c 5 4 5 4 5 5 6 
